Challenge,Created_At,Difficulty,20250603_Refact_Agent_claude-4-sonnet,20250610_augment_agent_v1,20250611_moatless_claude-4-sonnet-20250514,20250612_trae,20250616_Skywork-SWE-32B,20250616_Skywork-SWE-32B+TTS_Bo8,20250623_warp,20250627_agentless_MCTS-Refine-7B,20250629_deepswerl_r2eagent,20250629_deepswerl_r2eagent_tts
astropy__astropy-12907,2022-03-03T15:14:54Z,15 min - 1 hour,1,1,1,1,0,1,1,1,0,1
astropy__astropy-13033,2022-03-31T23:28:27Z,15 min - 1 hour,0,0,0,0,0,0,0,1,0,0
astropy__astropy-13236,2022-05-09T14:16:30Z,15 min - 1 hour,0,0,0,0,0,0,0,1,0,0
astropy__astropy-13453,2022-07-14T10:04:40Z,15 min - 1 hour,1,1,1,1,0,0,1,1,1,1
astropy__astropy-13977,2022-11-01T22:24:58Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
astropy__astropy-14096,2022-12-04T17:06:07Z,15 min - 1 hour,1,1,1,1,0,1,1,1,0,0
astropy__astropy-14182,2022-12-16T11:13:37Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
astropy__astropy-14365,2023-02-06T19:20:34Z,15 min - 1 hour,0,1,0,0,0,0,0,0,0,0
astropy__astropy-14508,2023-03-09T11:08:51Z,15 min - 1 hour,1,1,1,1,0,0,1,0,1,1
astropy__astropy-14539,2023-03-16T18:45:19Z,15 min - 1 hour,1,1,1,1,1,1,1,1,1,1
astropy__astropy-14598,2023-03-29T10:34:49Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
astropy__astropy-7606,2018-06-29T16:27:46Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
astropy__astropy-7671,2018-07-20T19:37:49Z,15 min - 1 hour,1,1,1,1,1,1,1,0,0,1
astropy__astropy-8707,2019-05-15T13:21:19Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,1
astropy__astropy-8872,2019-06-19T20:34:56Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
django__django-10973,2019-02-11T01:19:56Z,15 min - 1 hour,1,1,1,1,0,1,1,0,1,1
django__django-11087,2019-03-16T22:59:57Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
django__django-11095,2019-03-19T15:17:28Z,15 min - 1 hour,1,1,1,1,1,1,1,0,1,1
django__django-11141,2019-03-28T20:49:53Z,15 min - 1 hour,1,1,0,1,0,0,1,0,0,0
django__django-11149,2019-03-30T18:14:35Z,15 min - 1 hour,1,1,1,1,0,0,1,0,0,1
django__django-11206,2019-04-13T10:19:38Z,15 min - 1 hour,0,0,1,1,0,0,0,0,1,1
django__django-11211,2019-04-13T12:01:14Z,15 min - 1 hour,1,1,1,1,0,1,1,0,0,1
django__django-11265,2019-04-21T12:57:28Z,15 min - 1 hour,1,0,0,1,1,0,1,0,0,0
django__django-11276,2019-04-24T12:35:05Z,15 min - 1 hour,1,1,1,1,1,1,1,0,1,1
django__django-11292,2019-04-27T14:23:07Z,15 min - 1 hour,1,1,1,1,1,1,1,0,1,1
django__django-11333,2019-05-06T21:00:53Z,15 min - 1 hour,1,1,1,1,0,0,1,0,0,0
django__django-11477,2019-06-14T17:40:45Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
django__django-11532,2019-07-02T10:29:28Z,15 min - 1 hour,0,0,1,1,1,0,0,0,0,0
django__django-11551,2019-07-09T22:28:45Z,15 min - 1 hour,1,1,1,1,1,1,1,0,1,1
django__django-11728,2019-08-29T17:31:03Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
django__django-11734,2019-09-01T18:46:50Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
django__django-11740,2019-09-03T10:44:38Z,15 min - 1 hour,1,1,1,1,0,1,1,0,1,1
django__django-11749,2019-09-05T21:47:44Z,15 min - 1 hour,1,1,1,1,0,1,1,0,0,1
