Challenge,Created_At,Difficulty,20250603_Refact_Agent_claude-4-sonnet,20250610_augment_agent_v1,20250611_moatless_claude-4-sonnet-20250514,20250612_trae,20250616_Skywork-SWE-32B,20250616_Skywork-SWE-32B+TTS_Bo8,20250623_warp,20250627_agentless_MCTS-Refine-7B,20250629_deepswerl_r2eagent,20250629_deepswerl_r2eagent_tts
astropy__astropy-14309,2023-01-23T22:34:01Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
astropy__astropy-14995,2023-06-27T19:48:18Z,<15 min fix,1,1,1,1,0,1,1,0,0,1
astropy__astropy-7166,2018-02-07T15:05:31Z,<15 min fix,1,1,1,1,0,1,1,1,1,1
astropy__astropy-7336,2018-03-28T15:31:32Z,<15 min fix,1,1,1,1,1,1,1,1,0,1
django__django-10097,2018-06-26T23:30:51Z,<15 min fix,0,0,1,1,0,0,0,0,0,0
django__django-10880,2019-01-21T00:22:36Z,<15 min fix,1,1,1,1,1,1,1,0,0,1
django__django-10914,2019-01-30T13:13:20Z,<15 min fix,1,1,1,1,1,1,1,0,1,1
django__django-10999,2019-02-16T07:44:50Z,<15 min fix,0,0,0,0,0,0,0,0,0,0
django__django-11066,2019-03-09T13:03:14Z,<15 min fix,1,1,1,1,1,1,1,0,1,1
django__django-11099,2019-03-20T03:46:18Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
django__django-11119,2019-03-24T21:17:05Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
django__django-11133,2019-03-27T06:48:09Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
django__django-11163,2019-04-02T21:46:42Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
django__django-11179,2019-04-05T15:54:39Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
django__django-11239,2019-04-16T09:44:54Z,<15 min fix,1,1,1,1,0,0,1,0,0,0
django__django-11299,2019-04-28T11:15:08Z,<15 min fix,1,1,1,1,0,1,1,0,0,1
django__django-11433,2019-05-31T17:06:20Z,<15 min fix,0,0,1,1,0,0,0,0,0,0
django__django-11451,2019-06-08T19:11:42Z,<15 min fix,1,1,1,1,0,0,1,1,0,1
django__django-11490,2019-06-19T07:47:46Z,<15 min fix,1,1,1,1,0,0,1,0,1,1
django__django-11555,2019-07-10T18:07:07Z,<15 min fix,1,1,1,1,1,0,1,0,1,1
django__django-11603,2019-07-28T18:14:23Z,<15 min fix,1,1,1,1,1,1,1,0,1,1
django__django-11820,2019-09-26T08:37:14Z,<15 min fix,0,0,0,0,0,0,0,0,0,0
django__django-11880,2019-10-07T19:10:59Z,<15 min fix,1,1,1,1,1,1,1,0,1,1
django__django-11951,2019-10-21T09:35:46Z,<15 min fix,1,1,1,1,1,1,1,0,0,1
django__django-11964,2019-10-23T14:16:45Z,<15 min fix,1,0,0,0,0,0,0,1,0,1
django__django-12125,2019-11-22T12:55:45Z,<15 min fix,1,0,0,1,1,0,1,0,0,0
django__django-12193,2019-12-08T01:38:25Z,<15 min fix,1,0,1,1,1,0,1,0,0,1
django__django-12209,2019-12-12T04:11:05Z,<15 min fix,1,1,1,1,1,0,1,0,1,1
django__django-12276,2020-01-05T08:04:40Z,<15 min fix,1,1,1,1,1,1,1,0,0,1
django__django-12304,2020-01-09T15:43:51Z,<15 min fix,1,1,1,1,0,0,1,0,0,1
django__django-12308,2020-01-12T04:21:15Z,<15 min fix,0,0,0,1,0,0,0,1,0,0
django__django-12419,2020-02-05T10:02:56Z,<15 min fix,1,1,1,1,1,1,1,0,1,0
django__django-12741,2020-04-17T22:35:55Z,<15 min fix,1,1,1,1,1,0,1,0,1,1
django__django-13023,2020-06-04T20:40:44Z,<15 min fix,1,1,1,1,0,0,1,0,0,0
django__django-13089,2020-06-20T07:36:10Z,<15 min fix,1,1,1,1,1,1,1,0,1,1
django__django-13109,2020-06-25T08:36:45Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
django__django-13112,2020-06-26T04:51:38Z,<15 min fix,1,1,1,1,0,0,1,0,0,0
django__django-13297,2020-08-12T11:20:33Z,<15 min fix,1,1,1,1,0,0,1,0,0,1
django__django-13363,2020-08-29T18:59:41Z,<15 min fix,1,1,1,1,1,1,1,0,1,1
django__django-13406,2020-09-10T12:38:11Z,<15 min fix,1,1,1,1,0,0,1,0,1,1
django__django-13410,2020-09-11T09:58:41Z,<15 min fix,1,1,1,1,1,1,1,0,1,1
django__django-13417,2020-09-14T07:49:15Z,<15 min fix,1,1,1,1,1,1,1,0,0,1
django__django-13512,2020-10-08T13:52:57Z,<15 min fix,1,1,1,1,0,0,1,0,0,0
django__django-13551,2020-10-17T17:22:01Z,<15 min fix,1,1,0,1,0,0,1,1,0,0
django__django-13741,2020-12-02T10:52:52Z,<15 min fix,1,1,1,1,1,1,1,0,1,1
django__django-13794,2020-12-19T20:09:34Z,<15 min fix,0,0,0,0,0,0,0,0,0,0
django__django-13807,2020-12-23T21:09:32Z,<15 min fix,1,1,1,1,0,0,0,0,0,0
django__django-13821,2020-12-29T15:16:10Z,<15 min fix,1,1,1,1,1,1,1,0,1,1
django__django-13933,2021-01-26T03:58:23Z,<15 min fix,1,1,1,1,0,1,1,0,1,1
django__django-14089,2021-03-06T20:51:08Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
django__django-14315,2021-04-26T12:39:01Z,<15 min fix,0,0,0,0,0,0,0,0,0,0
django__django-14373,2021-05-10T14:40:32Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
django__django-14376,2021-05-10T20:42:18Z,<15 min fix,0,0,0,0,0,0,0,0,0,0
django__django-14404,2021-05-17T11:24:06Z,<15 min fix,0,1,0,1,0,0,1,0,0,0
django__django-14493,2021-06-05T12:50:25Z,<15 min fix,1,1,1,1,0,1,1,0,1,1
django__django-14534,2021-06-17T15:37:34Z,<15 min fix,0,0,0,0,0,0,0,0,0,0
django__django-14539,2021-06-19T11:31:16Z,<15 min fix,1,1,1,1,1,1,1,1,0,1
django__django-14580,2021-07-01T07:38:03Z,<15 min fix,1,1,1,1,1,1,1,0,1,1
django__django-14608,2021-07-07T19:51:30Z,<15 min fix,1,1,1,1,0,1,1,0,0,0
django__django-14752,2021-08-07T16:34:32Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
django__django-14765,2021-08-12T05:59:11Z,<15 min fix,1,1,1,1,1,1,1,0,1,1
django__django-14787,2021-08-23T12:59:59Z,<15 min fix,1,1,1,1,0,1,1,1,0,1
