Challenge,Created_At,Difficulty,20250503_patchpilot-v1.1-o4-mini,20250511_sweagent_lm_32b,20250514_aime_coder,20250515_Refact_Agent,20250516_cortexa_o3,20250519_devlo,20250519_trae,20250520_openhands_devstral_small,20250522_sweagent_claude-4-sonnet-20250514,20250522_tools_claude-4-opus,20250522_tools_claude-4-sonnet,20250524_openhands_claude_4_sonnet,20250527_amazon.nova-premier-v1.0,20250528_patchpilot_Co-PatcheR,20250603_Refact_Agent_claude-4-sonnet,20250610_augment_agent_v1,20250611_moatless_claude-4-sonnet-20250514,20250612_trae,20250616_Skywork-SWE-32B,20250616_Skywork-SWE-32B+TTS_Bo8,20250623_warp,20250627_agentless_MCTS-Refine-7B,20250629_deepswerl_r2eagent,20250629_deepswerl_r2eagent_tts
astropy__astropy-13398,2022-06-24T15:22:11Z,1-4 hours,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
astropy__astropy-13579,2022-08-26T15:06:53Z,1-4 hours,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1
astropy__astropy-14369,2023-02-06T21:56:51Z,1-4 hours,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0
django__django-10554,2018-10-24T14:24:45Z,1-4 hours,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
django__django-11138,2019-03-28T13:11:56Z,1-4 hours,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
django__django-11400,2019-05-22T11:30:39Z,1-4 hours,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
django__django-11885,2019-10-08T15:22:07Z,1-4 hours,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
django__django-12325,2020-01-15T14:02:25Z,1-4 hours,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
django__django-12708,2020-04-12T22:20:59Z,1-4 hours,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
django__django-13128,2020-06-30T18:06:56Z,1-4 hours,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1
django__django-13212,2020-07-21T02:53:58Z,1-4 hours,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
django__django-13344,2020-08-24T20:50:35Z,1-4 hours,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
django__django-13449,2020-09-22T13:04:03Z,1-4 hours,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1
django__django-13837,2021-01-04T17:44:23Z,1-4 hours,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0
django__django-14007,2021-02-13T09:00:02Z,1-4 hours,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0
django__django-14011,2021-02-15T06:15:21Z,1-4 hours,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
django__django-14631,2021-07-13T09:16:48Z,1-4 hours,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0
django__django-15128,2021-11-25T15:50:24Z,1-4 hours,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1
django__django-15268,2022-01-01T09:57:13Z,1-4 hours,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0
django__django-15503,2022-03-12T06:22:37Z,1-4 hours,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0
django__django-15629,2022-04-23T21:58:24Z,1-4 hours,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
django__django-15957,2022-08-13T06:18:25Z,1-4 hours,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
django__django-16263,2022-11-06T07:38:18Z,1-4 hours,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
django__django-16560,2023-02-16T10:45:56Z,1-4 hours,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0
django__django-16631,2023-03-06T15:19:52Z,1-4 hours,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pydata__xarray-3993,2020-04-21T20:30:35Z,1-4 hours,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0
pylint-dev__pylint-4551,2021-06-07T15:14:31Z,1-4 hours,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pylint-dev__pylint-8898,2023-07-29T21:53:59Z,1-4 hours,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
pytest-dev__pytest-10356,2022-10-08T06:20:42Z,1-4 hours,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pytest-dev__pytest-5787,2019-08-26T16:43:31Z,1-4 hours,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0
pytest-dev__pytest-6197,2019-11-15T16:37:22Z,1-4 hours,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
scikit-learn__scikit-learn-25102,2022-12-02T20:03:37Z,1-4 hours,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1
sphinx-doc__sphinx-11510,2023-07-24T22:46:12Z,1-4 hours,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sphinx-doc__sphinx-8548,2020-12-17T13:46:32Z,1-4 hours,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
sphinx-doc__sphinx-9229,2021-05-15T07:21:49Z,1-4 hours,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
