instance_id,created_at,difficulty
astropy__astropy-12907,2022-03-03T15:14:54Z,15 min - 1 hour
astropy__astropy-13033,2022-03-31T23:28:27Z,15 min - 1 hour
astropy__astropy-13236,2022-05-09T14:16:30Z,15 min - 1 hour
astropy__astropy-13398,2022-06-24T15:22:11Z,1-4 hours
astropy__astropy-13453,2022-07-14T10:04:40Z,15 min - 1 hour
astropy__astropy-13579,2022-08-26T15:06:53Z,1-4 hours
astropy__astropy-13977,2022-11-01T22:24:58Z,15 min - 1 hour
astropy__astropy-14096,2022-12-04T17:06:07Z,15 min - 1 hour
astropy__astropy-14182,2022-12-16T11:13:37Z,15 min - 1 hour
astropy__astropy-14309,2023-01-23T22:34:01Z,<15 min fix
astropy__astropy-14365,2023-02-06T19:20:34Z,15 min - 1 hour
astropy__astropy-14369,2023-02-06T21:56:51Z,1-4 hours
astropy__astropy-14508,2023-03-09T11:08:51Z,15 min - 1 hour
astropy__astropy-14539,2023-03-16T18:45:19Z,15 min - 1 hour
astropy__astropy-14598,2023-03-29T10:34:49Z,15 min - 1 hour
astropy__astropy-14995,2023-06-27T19:48:18Z,<15 min fix
astropy__astropy-7166,2018-02-07T15:05:31Z,<15 min fix
astropy__astropy-7336,2018-03-28T15:31:32Z,<15 min fix
astropy__astropy-7606,2018-06-29T16:27:46Z,15 min - 1 hour
astropy__astropy-7671,2018-07-20T19:37:49Z,15 min - 1 hour
astropy__astropy-8707,2019-05-15T13:21:19Z,15 min - 1 hour
astropy__astropy-8872,2019-06-19T20:34:56Z,15 min - 1 hour
django__django-10097,2018-06-26T23:30:51Z,<15 min fix
django__django-10554,2018-10-24T14:24:45Z,1-4 hours
django__django-10880,2019-01-21T00:22:36Z,<15 min fix
django__django-10914,2019-01-30T13:13:20Z,<15 min fix
django__django-10973,2019-02-11T01:19:56Z,15 min - 1 hour
django__django-10999,2019-02-16T07:44:50Z,<15 min fix
django__django-11066,2019-03-09T13:03:14Z,<15 min fix
django__django-11087,2019-03-16T22:59:57Z,15 min - 1 hour
django__django-11095,2019-03-19T15:17:28Z,15 min - 1 hour
django__django-11099,2019-03-20T03:46:18Z,<15 min fix
django__django-11119,2019-03-24T21:17:05Z,<15 min fix
django__django-11133,2019-03-27T06:48:09Z,<15 min fix
django__django-11138,2019-03-28T13:11:56Z,1-4 hours
django__django-11141,2019-03-28T20:49:53Z,15 min - 1 hour
django__django-11149,2019-03-30T18:14:35Z,15 min - 1 hour
django__django-11163,2019-04-02T21:46:42Z,<15 min fix
django__django-11179,2019-04-05T15:54:39Z,<15 min fix
django__django-11206,2019-04-13T10:19:38Z,15 min - 1 hour
django__django-11211,2019-04-13T12:01:14Z,15 min - 1 hour
django__django-11239,2019-04-16T09:44:54Z,<15 min fix
django__django-11265,2019-04-21T12:57:28Z,15 min - 1 hour
django__django-11276,2019-04-24T12:35:05Z,15 min - 1 hour
django__django-11292,2019-04-27T14:23:07Z,15 min - 1 hour
django__django-11299,2019-04-28T11:15:08Z,<15 min fix
django__django-11333,2019-05-06T21:00:53Z,15 min - 1 hour
django__django-11400,2019-05-22T11:30:39Z,1-4 hours
django__django-11433,2019-05-31T17:06:20Z,<15 min fix
django__django-11451,2019-06-08T19:11:42Z,<15 min fix
